Item Name,Qty,Price (total) (USD),Item link,Notes
Lattepanda MU,1,$199.00,https://www.dfrobot.com/product-2901.html,Brain ImtDeck
Active Cooler,1,$12.00,https://www.dfrobot.com/product-2901.html,Active Cooler
Carrier Board,1,$39.00,https://www.dfrobot.com/product-2901.html,Carrier
PCB,$70.00,jlcpcb.com,pcb grant
11.6 Inch Screen,1,$129.00,https://www.dfrobot.com/product-2794.html,Main Display (Touch Display)
Antenna,1,$7.99,https://www.amazon.com/dp/B07DB5VWS1,Antenna needed for ImtDeck
Audio Card from Waveshare,1,$51.71,https://www.waveshare.com/usb-to-audio.htm,With Shipping Costs
KAILH Linear Low Profile Switches,3,$56.82,https://www.amazon.com/dp/B0B3MN1ZLW,Switches
Chosfox CFX BoW Keycap Set,1,$33.00,https://chosfox.com/products/chocfox-bow?variant=43187789955266,Keycaps
TPS43-201A-S,1,$13.87,https://www.aliexpress.com/item/1005010179756077.html,Trackpad
Power Bank,1,$13.00,Will buy from local shops,Powerbank
WIFI Card,1,$28.00,Will buy from local shops,WIFI Card
Pi Pico,1,$12.00,Will buy from local shops,Pi Pico
USB Micro Cord,1,$13.00,Will buy from local shops,USB Micro Cord
40MM Speaker,1,$6.00,Will buy from local shops,40MM Speaker
Tiny SSD,1,$70.00,Will buy from local shops,Tiny SSD
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$754.39,,,
